"","race","sex","age","qmin","qmax","q","cmin","cmax","c"
"109","Asian/Pacific Islander","Male",64,1.79564967952142e-06,2.51390864851014e-06,2.15477918981061e-06,2.72057876131715e-05,3.03495074808202e-05,2.84383549536193e-05
"110","Asian/Pacific Islander","Male",69,0,4.78066660180896e-07,9.56133320361791e-08,2.97196278687961e-05,3.28633398335443e-05,3.05930728810577e-05
"111","Asian/Pacific Islander","Male",74,6.79026072903634e-07,6.79026072903634e-07,6.79026072903634e-07,2.97196278687961e-05,3.33413907829261e-05,3.0688683221014e-05
"112","Asian/Pacific Islander","Male",79,9.91417791884551e-07,9.91417791884551e-07,9.91417791884551e-07,3.03986337613082e-05,3.40203942160722e-05,3.13676884554637e-05
"113","Asian/Pacific Islander","Male",84,0,0,0,3.13900214156115e-05,3.50117782794701e-05,3.23590751488689e-05
"114","Asian/Pacific Islander","Male",85,0,0,0,3.13900214156115e-05,3.50117782794701e-05,3.23590751488689e-05
"115","Latinx","Female",0,0,0,0,0,0,0
"116","Latinx","Female",4,0,0,0,0,0,0
"117","Latinx","Female",9,0,0,0,0,0,0
"118","Latinx","Female",14,6.86677761319256e-08,6.86677761319256e-08,6.86677761319256e-08,0,0,0
"119","Latinx","Female",19,2.14144294922949e-07,2.14144294922949e-07,2.14144294922949e-07,6.86677760208809e-08,6.86677760208809e-08,6.86677760208809e-08
"120","Latinx","Female",24,4.39004335240978e-07,4.39004335240978e-07,4.39004335240978e-07,2.82812056440207e-07,2.82812056440207e-07,2.82812056440207e-07
"121","Latinx","Female",29,5.40179162766284e-07,6.94516012819068e-07,6.32781273988948e-07,7.21816267423847e-07,7.21816267423847e-07,7.21816267423847e-07
"122","Latinx","Female",34,4.64564311844369e-07,4.64564311844369e-07,4.64564311844369e-07,1.26199504024704e-06,1.41633177908052e-06,1.35459708481278e-06
"123","Latinx","Female",39,3.21929620390249e-07,3.21929620390249e-07,3.21929620390249e-07,1.7265587658466e-06,1.88089543273762e-06,1.81916076720245e-06
"124","Latinx","Female",44,1.7228693941814e-07,3.44573849153494e-07,1.98129976249478e-07,2.04848783036393e-06,2.20282444762798e-06,2.14108980201022e-06
"125","Latinx","Female",49,9.70793813732917e-08,9.70793813732917e-08,9.70793813732917e-08,2.22077441680568e-06,2.54739753791089e-06,2.33921935238746e-06
"126","Latinx","Female",54,2.24957454921338e-07,3.37436163404812e-07,2.47453196618033e-07,2.31785358262293e-06,2.64447667186474e-06,2.4362985067361e-06
"127","Latinx","Female",59,0,1.39127540929757e-07,4.17382622789272e-08,2.54281051614846e-06,2.86943353189351e-06,2.68375110050734e-06
"128","Latinx","Female",64,0,1.80041807508121e-07,5.40125422524364e-08,2.54281051614846e-06,2.94875263762151e-06,2.72548924852289e-06
"129","Latinx","Female",69,0,2.41503630584454e-07,2.41503630584454e-08,2.54281051614846e-06,3.12879391417553e-06,2.77950164130347e-06
"130","Latinx","Female",74,0,0,0,2.54281051614846e-06,3.12879391417553e-06,2.8036519392316e-06
"131","Latinx","Female",79,0,0,0,2.54281051614846e-06,3.12879391417553e-06,2.8036519392316e-06
"132","Latinx","Female",84,0,0,0,2.54281051614846e-06,3.12879391417553e-06,2.8036519392316e-06
"133","Latinx","Female",85,0,0,0,2.54281051614846e-06,3.12879391417553e-06,2.8036519392316e-06
"134","Latinx","Male",0,0,0,0,0,0,0
"135","Latinx","Male",4,0,0,0,0,0,0
"136","Latinx","Male",9,0,0,0,0,0,0
"137","Latinx","Male",14,2.64857320368303e-07,3.31071639499535e-07,2.91343048020796e-07,0,0,0
"138","Latinx","Male",19,5.67710339046076e-06,6.28536255643943e-06,5.98123300451017e-06,2.64857320408929e-07,3.31071639547709e-07,2.91343048064441e-07
"139","Latinx","Male",24,1.56648466238937e-05,1.63286058921708e-05,1.59967262932786e-05,6.00817315066227e-06,6.55021821205359e-06,6.27257431223827e-06
"140","Latinx","Male",29,1.53372561174245e-05,1.61625726468953e-05,1.57567920792699e-05,2.17393012051925e-05,2.26771752385169e-05,2.22692002527003e-05
"141","Latinx","Male",34,1.42632954920572e-05,1.52518331856165e-05,1.47293204865021e-05,3.76845663636605e-05,3.85003231789804e-05,3.80256414899804e-05
"142","Latinx","Male",39,1.26836138228454e-05,1.34431065515435e-05,1.30329805241932e-05,5.21642773805286e-05,5.34111005061622e-05,5.27544018764092e-05
"143","Latinx","Male",44,9.93874996863082e-06,1.07669746739222e-05,1.03362978861632e-05,6.51405404861194e-05,6.67015986599573e-05,6.5786694868919e-05
"144","Latinx","Male",49,7.70327220912092e-06,8.92451723176318e-06,8.5017786927485e-06,7.54116797748727e-05,7.69709535648477e-05,7.61223127829558e-05
"145","Latinx","Male",54,6.29800542168295e-06,7.19771724397607e-06,6.69162939642618e-06,8.31143710672277e-05,8.54251105746329e-05,8.46234442705707e-05
"146","Latinx","Male",59,4.09605302867281e-06,5.55892504433243e-06,4.68120202325664e-06,8.97492170203185e-05,9.26222129528087e-05,9.13145073119237e-05
"147","Latinx","Male",64,2.20186520001093e-06,3.00254225252521e-06,2.5621699217237e-06,9.45762730608646e-05,9.74492551238937e-05,9.59952819130416e-05
"148","Latinx","Male",69,1.99687546044026e-06,2.85267800853407e-06,2.33919652036661e-06,9.71782307606084e-05,0.000100251355084513,9.85572058274764e-05
"149","Latinx","Male",74,1.70713938494329e-06,2.13392377581594e-06,1.79249626311782e-06,9.97453918381019e-05,0.000102818508271874,0.000100896171852893
"150","Latinx","Male",79,6.19801991857661e-07,1.85940482311017e-06,1.05366307883455e-06,0.000101452360943832,0.000104525472131356,0.000102688487195746
"151","Latinx","Male",84,9.46746906622826e-07,1.89349291691637e-06,1.04142150765218e-06,0.000102072100055417,0.00010638468259927,0.000103742041877908
"152","Latinx","Male",85,1.18191085437381e-06,2.36382031183518e-06,1.77286558310449e-06,0.00010420053942084,0.000108513112784814,0.00010655603528037
"153","White","Female",0,0,0,0,0,0,0
"154","White","Female",4,0,0,0,0,0,0
"155","White","Female",9,5.34873111784255e-08,5.34873111784255e-08,5.34873111784255e-08,0,0,0
"156","White","Female",14,5.11872027079259e-08,5.11872027079259e-08,5.11872027079259e-08,5.3487311135747e-08,5.3487311135747e-08,5.3487311135747e-08
"157","White","Female",19,2.18967193787609e-07,2.43296879026563e-07,2.238331308354e-07,1.04674511058889e-07,1.04674511058889e-07,1.04674511058889e-07
"158","White","Female",24,4.10119171061663e-07,4.32903564522254e-07,4.28346685830136e-07,3.23641682009601e-07,3.47971364722532e-07,3.28507618552187e-07
"159","White","Female",29,5.25603476487648e-07,6.17012748546018e-07,5.69022881315937e-07,7.33760720295074e-07,7.80874778616436e-07,7.56854163652676e-07
"160","White","Female",34,5.63164243425679e-07,6.33559751554002e-07,5.86629413132155e-07,1.28214818528871e-06,1.375034745843e-06,1.32587661442196e-06
"161","White","Female",39,7.63820315311679e-07,7.8845967060816e-07,7.76139992959919e-07,1.8453117066608e-06,1.96166335275638e-06,1.91250524990139e-06
"162","White","Female",44,5.66521106621935e-07,6.57164453897642e-07,6.09576697271139e-07,2.60913061256307e-06,2.72701755366089e-06,2.6886437585083e-06
"163","White","Female",49,6.70322340646174e-07,7.31260712969445e-07,7.00791527137897e-07,3.19831101946999e-06,3.36078303875276e-06,3.29821881626113e-06
"164","White","Female",54,3.82942267067639e-07,4.37648293249157e-07,4.2123648549446e-07,3.90925666837738e-06,4.0916199240959e-06,3.99900803181863e-06
"165","White","Female",59,1.66137912761222e-07,2.39976976239704e-07,2.1044135132538e-07,4.29219743847131e-06,4.52926642668938e-06,4.42024283208164e-06
"166","White","Female",64,1.82848291838876e-07,2.03164766646066e-07,1.93006529242471e-07,4.513713698584e-06,4.7507826341775e-06,4.63068325351479e-06
"167","White","Female",69,1.21779888575055e-07,1.46135864510425e-07,1.43700266916888e-07,4.6965611650851e-06,4.95394643573732e-06,4.82368888868878e-06
"168","White","Female",74,9.74311355516032e-08,9.74311355516032e-08,9.74311355516032e-08,4.84269634326573e-06,5.10008157639241e-06,4.96738846227363e-06
"169","White","Female",79,0,0,0,4.94012700702484e-06,5.19751221506048e-06,5.0648191138758e-06
"170","White","Female",84,5.22244276888171e-08,5.22244276888171e-08,5.22244276888171e-08,4.94012700702484e-06,5.19751221506048e-06,5.0648191138758e-06
"171","White","Female",85,8.6867976832658e-08,8.6867976832658e-08,8.6867976832658e-08,5.07921871994998e-06,5.3366038920144e-06,5.20391080938154e-06
"172","White","Male",0,2.69322437265715e-07,2.69322437265715e-07,2.69322437265715e-07,0,0,0
"173","White","Male",4,3.31898783814989e-08,3.31898783814989e-08,3.31898783814989e-08,2.6932243724076e-07,2.6932243724076e-07,2.6932243724076e-07
"174","White","Male",9,1.01803898916262e-07,1.27254872025947e-07,1.0434899622723e-07,3.02512306649128e-07,3.02512306649128e-07,3.02512306649128e-07
"175","White","Male",14,2.43074642401044e-08,4.86149278893559e-08,2.91689569699547e-08,4.04316174873465e-07,4.29767140208703e-07,4.06861271406989e-07
"176","White","Male",19,2.16739247029871e-06,2.37490852423034e-06,2.23887022550467e-06,4.28623629256109e-07,4.54074594036236e-07,4.36030216477423e-07
"177","White","Male",24,5.89811066258043e-06,6.31316158424574e-06,6.12529644387662e-06,2.59601517060837e-06,2.80353113557563e-06,2.67489946578214e-06
"178","White","Male",29,9.71924078195215e-06,1.00090332082e-05,9.90426210646039e-06,8.56328210663282e-06,9.00745141674264e-06,8.80017952544776e-06
"179","White","Male",34,1.09607272412527e-05,1.13068535131132e-05,1.10576426029645e-05,1.85687820645208e-05,1.89718114258497e-05,1.87043544749521e-05
"180","White","Male",39,9.85302102565351e-06,1.03882440791175e-05,1.02106473589806e-05,2.95327532807699e-05,3.01630772056027e-05,2.97617902450309e-05
"181","White","Male",44,8.74977235690267e-06,9.22212292819948e-06,9.03318271581999e-06,3.94700668460146e-05,4.04780252000192e-05,3.99721337165482e-05
"182","White","Male",49,7.42629716295455e-06,7.63031553741771e-06,7.53238672100528e-06,4.86693337848898e-05,4.94523631500154e-05,4.90049553829142e-05
"183","White","Male",54,6.19067611487779e-06,6.45094394087887e-06,6.28734702648217e-06,5.62176745869669e-05,5.69190947254938e-05,5.65369729876308e-05
"184","White","Male",59,4.69185949451151e-06,4.97911548311496e-06,4.80101677582859e-06,6.2668255870868e-05,6.31837764829557e-05,6.28239645518391e-05
"185","White","Male",64,2.79734442499047e-06,2.90493443891121e-06,2.86835383478009e-06,6.74053923539475e-05,6.80476822410014e-05,6.76246797062352e-05
"186","White","Male",69,2.0617422007068e-06,2.19390501731407e-06,2.10667755968077e-06,7.03101309845744e-05,7.09524190058985e-05,7.04928395706794e-05
"187","White","Male",74,1.33238714107248e-06,1.44341932269547e-06,1.41010966889347e-06,7.24245896357445e-05,7.30404456102951e-05,7.25993686240933e-05
"188","White","Male",79,1.14387819527425e-06,1.29986148416052e-06,1.20107206948794e-06,7.37690545603575e-05,7.44467514822711e-05,7.40093759182492e-05
"189","White","Male",84,8.04388833225588e-07,8.77515058706854e-07,8.62889813610601e-07,7.49648389695157e-05,7.56945256400465e-05,7.52103590979214e-05
"190","White","Male",85,5.05881547498399e-07,6.74508673127617e-07,6.07057824297685e-07,7.64634433929601e-05,7.72464313002486e-05,7.66801956530005e-05
